PRICE,HOA,SQUARE_FEET,BEDS,BATHS,PROPERTY_TYPE,CITY,URL
875000,,1118,3,2.5,CONDO,FREMONT,/CA/Fremont/5649-Salvia-Cmn-94538/unit-99/home/1944025
1250000,18,1472,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5415-Brophy-Dr-94536/home/1118977
1600000,15,1578,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38151-Farwell-Dr-94536/home/1057956
1450000,,1654,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38821-Hygelund-Dr-94536/home/1279458
1188000,15,1588,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5412-Brophy-Dr-94536/home/723551
1245000,,1507,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39299-Farwell-Dr-94538/home/1122757
979000,,1008,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39459-Blue-Fin-Way-94538/home/1266979
1350000,,1766,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5563-Truman-Pl-94538/home/1910234
1335000,,1668,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5447-Cleveland-Pl-94538/home/1264641
981000,,1486,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5439-Buchanan-Pl-94538/home/1124288
1000000,,1741,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39544-Kahlua-Ct-94538/home/1560069
1020000,,1200,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39631-Iolani-Ct-94538/home/1851833
635000,310,850,2,2.0,CONDO,FREMONT,/CA/Fremont/5655-Snowflake-Cmn-94538/unit-71/home/1127280
1270000,255,2131,4,3.5,TOWNHOUSE,NEWARK,/CA/Newark/5653-Coffeeberry-Rd-94560/home/112886068
2265000,15,1810,3,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4839-Northdale-Dr-94536/home/1828345
1500000,21,1384,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5157-Waller-Ave-94536/home/1120548
2000000,21,2189,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5376-Brophy-Dr-94536/home/1118998
1330000,,1610,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5366-Brophy-Dr-94536/home/1865258
1380000,,1204,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4933-Cody-Ct-94538/home/1922463
945000,295,1503,3,3.0,CONDO,NEWARK,/CA/Newark/38994-Primula-Ter-94560/home/143119297
1285000,,1948,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4462-Cambria-St-94538/home/1392624
1225000,,1333,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5051-Silver-Reef-Dr-94538/home/1124330
640000,322,1149,3,1.5,TOWNHOUSE,FREMONT,/CA/Fremont/5745-Birch-Ter-94538/home/1124900
595000,437,1071,2,2.0,CONDO,NEWARK,/CA/Newark/39997-Cedar-Blvd-94560/unit-154/home/1877822
1100000,,1249,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5002-Royal-Palm-Dr-94538/home/1122637
1422000,,1567,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5571-Beau-Ct-94538/home/1826045
1346000,,2377,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5177-Roycroft-Way-94538/home/1301299
1292000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40137-Besco-Dr-94538/home/1235877
1050000,,1475,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4791-Victoria-Ave-94538/home/1112351
1100000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4610-Ridpath-St-94538/home/1507055
1262800,,1154,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4767-Selkirk-St-94538/home/1125345
1140520,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39859-Burr-Ave-94538/home/1136919
1275000,,1461,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5101-Roycroft-Way-94538/home/1792351
1370000,,1302,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4838-Oscar-Ct-94538/home/1712431
1101000,,1092,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39068-Sonora-Ct-94538/home/1325777
1275000,,1554,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39145-Sonora-Ct-94538/home/1817510
1100000,,1961,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4620-Mowry-Ave-94538/home/1055405
1245000,19,1320,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38303-Granville-Dr-94536/home/1971356
1411000,,1788,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4764-Calaveras-Ave-94538/home/1953325
1200000,,1628,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39522-Eric-St-94538/home/1722247
1703000,21,1639,3,1.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4874-Rogers-Ave-94536/home/1788402
1310000,,2124,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39110-Bud-Ct-94538/home/1057053
1620000,,1861,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39666-Whitecap-Way-94538/home/1901171
630000,323,1006,2,1.5,TOWNHOUSE,FREMONT,/CA/Fremont/5625-Evergreen-Ter-94538/home/1972358
1360000,,1324,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39511-Sundale-Dr-94538/home/1667330
1800000,,1891,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4757-Boone-Dr-94538/home/1091652
1850000,,2057,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5158-Sabin-Ave-94536/home/1598655
1155000,,1000,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4883-Calaveras-Ave-94538/home/976124
1360000,,1701,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39582-Yuba-Ct-94538/home/1122528
1150000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4526-Todd-St-94538/home/1454759
1500000,,1701,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39507-Eric-St-94538/home/1439309
1380000,,1067,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39431-Royal-Palm-Dr-94538/home/1121950
1150000,,1140,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4438-Stevenson-Blvd-94538/home/1829844
1350000,,2016,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38848-Glenview-Dr-94536/home/1053513
1535000,21,1411,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38538-Avon-St-94536/home/1118782
930000,,1425,2,2.5,TOWNHOUSE,NEWARK,/CA/Newark/5708-Pandorea-Ter-94560/home/112885881
1525000,,1868,3,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4802-Kathryn-Ct-94536/home/1926337
1520000,21,1430,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38433-Glenview-Dr-94536/home/1696968
1461000,,1390,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5461-Tyler-Pl-94538/home/1738055
930000,300,1456,3,2.0,CONDO,NEWARK,/CA/Newark/5646-Pandorea-Ter-94560/home/142980074
1630000,,1788,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4639-Mildred-Dr-94536/home/1052689
1180000,,1078,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39286-Sundale-Dr-94538/home/1057818
1150000,,1150,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4573-Margery-Dr-94538/home/1114638
1435000,,2314,5,4.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4847-Piper-St-94538/home/1865089
1335000,18,1914,3,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38613-Granville-Dr-94536/home/1118974
1100000,,1302,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4414-Stevenson-Blvd-94538/home/1666866
1285000,,1467,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4278-Margery-Dr-94538/home/1108323
250000,,1189,2,2.0,CONDO,FREMONT,/CA/Fremont/4099-Murray-Cmn-94538/home/1058737
1100000,,1238,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38528-Farwell-Dr-94536/home/1026544
1250000,22,1663,3,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/37780-Alta-Ct-94536/home/1442820
1278000,,1131,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5642-Cello-Way-94538/home/1125015
1200000,,1330,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5613-Antone-Rd-94538/home/1125036
1135000,,1353,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5444-Farina-Ln-94538/home/1126559
990000,,1064,3,1.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5474-Borgia-Rd-94538/home/1406144
1395000,,2085,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4278-Bidwell-Dr-94538/home/1061727
1325000,,1584,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40543-Verne-St-94538/home/1111857
1010000,,1152,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40550-Blacow-Rd-94538/home/1111885
1210500,,1434,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5150-Roycroft-Way-94538/home/1110371
1410000,,1716,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4625-Stevenson-Blvd-94538/home/1922508
1290100,,1422,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40330-Strawflower-Way-94538/home/1124734
670000,320,850,2,2.0,CONDO,FREMONT,/CA/Fremont/5618-Statice-Cmn-94538/unit-95/home/723816
705000,326,1127,3,1.5,CONDO,FREMONT,/CA/Fremont/39900-Lindsay-McDermott-Ln-94538/home/1683423
1361000,,1204,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5047-Brett-Ct-94538/home/1109850
1125000,,1158,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4925-Boone-Dr-94538/home/1123068
1170000,,1528,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4610-Margery-Dr-94538/home/2020920
1238888,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4753-Hilo-St-94538/home/673463
2400000,,2511,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39392-Blacow-Rd-94538/home/915710
1525000,,1344,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4747-Quadres-Ct-94538/home/1121120
1250000,251,1925,3,3.5,TOWNHOUSE,NEWARK,/CA/Newark/38924-Lemongrass-Way-94560/home/112885841
1175300,,1200,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39636-Banyan-Tree-Rd-94538/home/534269
585000,323,945,2,1.0,TOWNHOUSE,FREMONT,/CA/Fremont/5561-Magnolia-Ter-94538/home/1899050
1580000,,1706,3,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4961-Richmond-Ave-94536/home/903024
1500000,,1424,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4723-Mildred-Dr-94536/home/1518111
2400000,18,2743,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4749-Northdale-Dr-94536/home/858899
1957000,21,1965,3,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4661-Richmond-Ave-94536/home/1051000
1310000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38908-Hygelund-Dr-94536/home/1058876
1315000,,1696,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4516-Thompson-Ct-94538/home/1129600
1325000,,1961,5,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39146-Cindy-St-94538/home/1055384
1465000,,1674,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4728-Serra-Ave-94538/home/1403796
1330000,,2548,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4526-Calaveras-Ave-94538/home/1558404
1350000,,1696,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4382-Cambria-St-94538/home/1430805
1270000,,1948,5,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4442-Inyo-Ct-94538/home/1271854
1050000,,1379,3,1.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39345-Sundale-Dr-94538/home/1335197
1260000,,1249,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39514-Pardee-Ct-94538/home/1059116
1340000,18,1322,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5121-Vernon-Ave-94536/home/1933395
1310000,,1390,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5527-Tyler-Pl-94538/home/1698266
1365000,,1292,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39441-Blue-Fin-Way-94538/home/1599074
1176000,,1483,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39640-Iolani-Ct-94538/home/1599078
650000,322,1149,3,1.5,TOWNHOUSE,FREMONT,/CA/Fremont/5657-Poplar-Cmn-94538/home/1658562
1020000,255,1925,3,3.5,TOWNHOUSE,NEWARK,/CA/Newark/38935-Trillium-Way-94560/home/112886177
1688800,247,2354,4,3.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39118-Serra-Pl-94538/home/172857768
1600000,,1869,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38864-Glenview-Dr-94536/home/1571345
1875000,18,2310,3,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4781-Northdale-Dr-94536/home/1054260
2106000,21,2287,4,3.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4649-Richmond-Ave-94536/home/1430729
1665000,,2966,7,4.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39313-Logan-Dr-94538/home/1895023
1500000,,1792,5,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39369-Ide-Ct-94538/home/1534172
1711000,18,1968,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38721-Farwell-Dr-94536/home/1896016
1165000,,1306,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39203-Farwell-Dr-94538/home/1026626
935000,300,1503,3,3.0,CONDO,NEWARK,/CA/Newark/5679-Daylily-St-94560/home/143117416
1220000,,1256,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5493-Roosevelt-Pl-94538/home/2012349
625000,480,1189,2,2.0,CONDO,FREMONT,/CA/Fremont/4116-Murray-Cmn-94538/unit-51/home/1324028
600000,,1465,2,2.0,CONDO,FREMONT,/CA/Fremont/39993-Fremont-Blvd-94538/unit-1/home/1971389
1205000,,1476,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40149-Davis-St-94538/home/1108226
680000,360,1092,2,2.0,CONDO,NEWARK,/CA/Newark/6482-Buena-Vista-Dr-94560/unit-B/home/1604037
708000,379,1488,2,2.0,CONDO,NEWARK,/CA/Newark/39921-Parada-St-94560/unit-B/home/1997934
680000,463,1283,3,2.0,CONDO,NEWARK,/CA/Newark/39975-Cedar-Blvd-94560/unit-231/home/1896681
540000,438,1071,2,2.0,CONDO,NEWARK,/CA/Newark/39975-Cedar-Blvd-94560/unit-342/home/1156498
1320000,,1864,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39836-Ogden-Dr-94538/home/1980635
630000,326,948,2,1.5,CONDO,FREMONT,/CA/Fremont/39916-Lindsay-McDermott-Ln-94538/unit-L/home/1767948
1660000,22,1436,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38250-Alta-Dr-94536/home/1828862
1325000,,2249,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39524-Dorrington-Ct-94538/home/1024361
1480000,21,1670,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5127-Troy-Ave-94536/home/546459
1727000,21,2111,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38687-Blacow-Rd-94536/home/583998
1775000,21,1807,3,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4889-Whitfield-Ave-94536/home/721491
1560000,,1624,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/38841-Florence-Way-94536/home/1850646
1548000,,,,,SINGLE_FAMILY_HOME,FREMONT,/CA/FREMONT/MOWRY-AVE-94538/home/172857772
1330000,18,1635,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5125-Earle-St-94536/home/1868937
1550000,,1344,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4785-Mildred-Dr-94536/home/1335139
1418000,247,2341,4,3.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4688-Mowry-Ave-94538/home/172857773
1525000,21,1856,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/37954-Blacow-Rd-94536/home/1055073
806000,,1389,3,2.0,CONDO,FREMONT,/CA/Fremont/4067-Murray-Cmn-94538/unit-65/home/1486887
615000,326,1120,2,1.5,CONDO,FREMONT,/CA/Fremont/39917-Lindsay-McDermott-Ln-94538/home/1627553
1030000,13,1558,3,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39622-Trinity-Way-94538/home/1059980
1600000,,1997,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4282-Stevenson-Blvd-94538/home/1393791
1100000,,1324,3,1.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40326-Blacow-Rd-94538/home/1109722
1290000,,1151,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4589-Crockett-Ct-94538/home/1539491
1285000,,1067,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5168-Silver-Reef-Dr-94538/home/1899068
1150000,,1585,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39762-Blacow-Rd-94538/home/723695
1400000,,1422,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40271-Strawflower-Way-94538/home/1851109
981000,,1358,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4773-Serra-Ave-94538/home/1644355
1730000,12,1721,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5332-Radele-Ct-94536/home/1437849
1350000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4594-Piper-St-94538/home/1493057
1400000,,1452,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4783-Victoria-Ave-94538/home/588909
1330000,,1200,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39691-Whitecap-Way-94538/home/1325830
,,850,2,2.0,CONDO,FREMONT,/CA/Fremont/5610-Caprice-Cmn-94538/unit-23/home/1698381
875000,320,1118,3,2.5,TOWNHOUSE,FREMONT,/CA/Fremont/5710-Caprice-Cmn-94538/unit-27/home/1488602
1350000,,1117,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5501-Reseda-Cir-94538/home/1793042
1519000,,,,,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4668-Mowry-Ave-94538/home/172857774
685000,407,1763,3,2.0,CONDO,NEWARK,/CA/Newark/6472-Buena-Vista-Dr-94560/unit-A/home/705774
627000,360,1301,2,2.0,CONDO,NEWARK,/CA/Newark/6388-Buena-Vista-Dr-94560/unit-B/home/1395273
489900,438,1071,2,2.0,CONDO,NEWARK,/CA/Newark/39975-Cedar-Blvd-94560/unit-333/home/1156483
1320000,,1376,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40510-Blacow-Rd-94538/home/1851604
1250000,,1317,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5681-Dewey-Pl-94538/home/1266961
1875000,,3078,5,4.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4874-Porter-St-94538/home/1712436
1125000,,1067,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39674-Whitecap-Way-94538/home/1123015
645000,323,945,2,1.5,TOWNHOUSE,FREMONT,/CA/Fremont/5549-Roundtree-Cmn-94538/home/976217
1170000,,1036,3,1.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40344-Sundale-Dr-94538/home/1110295
1100000,,1117,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40391-Torenia-Cir-94538/home/1573033
1310000,,1117,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40430-Torenia-Cir-94538/home/1738112
1285000,,1629,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4633-Margery-Dr-94538/home/1109627
1350000,,1324,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4927-Cody-Ct-94538/home/1738044
1287053,,1456,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39636-Royal-Palm-Dr-94538/home/1354580
1260000,,1396,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4711-Stevenson-Blvd-94538/home/1125952
1050000,,1232,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5695-Greeley-Pl-94538/home/1183732
945000,295,1456,3,2.0,CONDO,NEWARK,/CA/Newark/5653-Pandorea-Ter-94560/home/143117426
1350000,,1256,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5481-Tilden-Pl-94538/home/1927349
1190000,202,1766,3,2.5,SINGLE_FAMILY_HOME,NEWARK,/CA/Newark/39882-Parada-St-94560/home/1155485
1310000,,1470,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4536-Piper-St-94538/home/1922281
915000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4818-Stevenson-Blvd-94538/home/1219062
1300000,,1302,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4658-Piper-St-94538/home/742174
1340000,,1610,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4596-De-Silva-St-94538/home/1978018
1600000,,1748,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4975-Tenor-Ct-94538/home/1960048
1665000,,1763,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40341-Strawflower-Way-94538/home/1126809
1280000,,1422,4,2.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5494-Reseda-Cir-94538/home/1125907
1330000,,1579,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5185-Roycroft-Way-94538/home/1519463
1430000,,2140,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5468-Borgia-Rd-94538/home/2039553
585000,323,945,2,1.0,TOWNHOUSE,FREMONT,/CA/Fremont/5736-Birch-Ter-94538/home/613912
675000,463,1283,3,2.0,CONDO,NEWARK,/CA/Newark/39975-Cedar-Blvd-94560/unit-331/home/1668084
1220000,,1302,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4988-Adagio-Ct-94538/home/1126523
1600000,,3464,5,4.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5439-Fiesta-Rd-94538/home/1406111
806000,460,1389,3,2.0,CONDO,FREMONT,/CA/Fremont/4067-Murray-Cmn-94538/unit-CM/home/123849851
1360000,,1785,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4219-Blewett-St-94538/home/673349
